timestamp,power_kw
2022-01-01 00:00:00,1059.1
2022-01-01 01:00:00,1027.1
2022-01-01 02:00:00,1099.0
2022-01-01 03:00:00,1131.7
2022-01-01 04:00:00,1079.2
2022-01-01 05:00:00,1138.0
2022-01-01 06:00:00,1222.8
2022-01-01 07:00:00,1251.4
2022-01-01 08:00:00,1299.6
2022-01-01 09:00:00,1308.6
2022-01-01 10:00:00,1387.4
2022-01-01 11:00:00,1402.3
2022-01-01 12:00:00,1389.0
2022-01-01 13:00:00,1418.6
2022-01-01 14:00:00,1386.6
2022-01-01 15:00:00,1325.8
2022-01-01 16:00:00,1334.2
2022-01-01 17:00:00,1260.9
2022-01-01 18:00:00,1279.7
2022-01-01 19:00:00,1215.5
2022-01-01 20:00:00,1177.7
2022-01-01 21:00:00,1134.1
2022-01-01 22:00:00,1169.7
2022-01-01 23:00:00,1115.6
2022-01-02 00:00:00,1104.3
2022-01-02 01:00:00,1113.8
2022-01-02 02:00:00,1157.2
2022-01-02 03:00:00,1177.9
2022-01-02 04:00:00,1212.1
2022-01-02 05:00:00,1250.4
2022-01-02 06:00:00,1342.1
2022-01-02 07:00:00,1306.0
2022-01-02 08:00:00,1340.3
2022-01-02 09:00:00,1363.5
2022-01-02 10:00:00,1431.4
2022-01-02 11:00:00,1462.8
2022-01-02 12:00:00,1431.5
2022-01-02 13:00:00,1405.4
2022-01-02 14:00:00,1391.6
2022-01-02 15:00:00,1412.6
2022-01-02 16:00:00,1384.8
2022-01-02 17:00:00,1343.0
2022-01-02 18:00:00,1268.2
2022-01-02 19:00:00,1256.4
2022-01-02 20:00:00,1216.8
2022-01-02 21:00:00,1188.7
2022-01-02 22:00:00,1184.2
2022-01-02 23:00:00,1149.5
2022-01-03 00:00:00,1157.6
2022-01-03 01:00:00,1143.9
2022-01-03 02:00:00,1164.9
2022-01-03 03:00:00,1198.2
2022-01-03 04:00:00,1165.8
2022-01-03 05:00:00,1235.2
2022-01-03 06:00:00,1268.4
2022-01-03 07:00:00,1301.0
2022-01-03 08:00:00,1346.9
2022-01-03 09:00:00,1429.7
2022-01-03 10:00:00,1381.2
2022-01-03 11:00:00,1449.7
2022-01-03 12:00:00,1373.7
2022-01-03 13:00:00,1407.3
2022-01-03 14:00:00,1405.4
2022-01-03 15:00:00,1392.4
2022-01-03 16:00:00,1363.1
2022-01-03 17:00:00,1327.4
2022-01-03 18:00:00,1252.2
2022-01-03 19:00:00,1207.8
2022-01-03 20:00:00,1209.0
2022-01-03 21:00:00,1144.1
2022-01-03 22:00:00,1085.4
